Category,Subcategory,Area,Base,Beginner,Intermediate,Advanced,Expert
Build & Integration,CI Pipeline,Build Automation,"Builds are triggered manually or only on specific branches. Developers often build locally and deploy from their machines.","CI exists but is fragile - builds break often and are not always investigated promptly. Some manual steps remain in the build process.","CI runs automatically on every push. Build failures are investigated within the same day. Build times are monitored.","CI is fast (<10 min), reliable (>95% green), and runs on every PR. Flaky tests are tracked and fixed proactively.","CI is optimized with caching, parallelization, and incremental builds. Build health is a team-level KPI visible to everyone."
Build & Integration,CI Pipeline,Build Observability,"No visibility into build health trends. Failures are noticed only when someone tries to deploy.","Basic build status is visible (pass/fail) but no historical trends or dashboards.","Build success rate, duration, and failure reasons are tracked over time. Team reviews build health periodically.","Build analytics are automated - trends, regressions, and slowdowns are surfaced proactively. Alerts on degradation.","Predictive build health - the team detects and fixes build degradation before it impacts developer flow."
Build & Integration,Code Review,Review Process,"Code reviews are optional or inconsistent. Some changes go to production without any peer review.","Code reviews happen for most changes but quality varies - some are rubber-stamps with no meaningful feedback.","All production changes require review. Reviews consistently check for correctness, readability, and test coverage.","Reviews are timely (<24h), thorough, and constructive. Review quality metrics are tracked (comments, cycles, time-to-approve).","Code review is a learning culture - reviews spread knowledge across the team. Junior devs grow measurably through review feedback."
Test & Verification,Test Strategy,Test Coverage,"Little or no automated testing. Manual testing before releases is the primary quality gate.","Some unit tests exist but coverage is low and inconsistent across the codebase. No integration or E2E tests.","Unit tests cover critical paths. Integration tests exist for key workflows. Test coverage is measured and visible.","Comprehensive test pyramid - unit, integration, and E2E tests with clear ownership. Coverage targets are set and met.","Test strategy is risk-based - coverage is prioritized by business impact. New features require tests before merge. Mutation testing or similar advanced techniques are used."
Test & Verification,Test Strategy,Test Reliability,"Tests are often skipped because they are slow or flaky. Nobody trusts the test suite fully.","Tests run but flaky tests are common. Developers re-run pipelines hoping for green. No systematic flaky test tracking.","Flaky tests are identified and fixed within a sprint. Test suite is generally trusted by the team.","Test suite is highly reliable (>98% deterministic). Flaky tests are quarantined automatically and fixed with priority.","Zero-tolerance for flaky tests. Test infrastructure is treated as a first-class product with its own quality standards."
Test & Verification,Quality Gates,Static Analysis & Security,"No static analysis or security scanning in the development process.","Static analysis tools exist but are not integrated into CI. Results are checked occasionally.","SAST and dependency scanning run automatically in CI. Critical findings block the merge.","Security scanning covers SAST, dependencies, and secrets detection. Findings are triaged and resolved within SLA.","Security is shift-left - developers get inline feedback in IDE. Vulnerability trends are tracked. Regular security reviews complement automated scanning."
Deploy & Release,Deployment,Deployment Frequency,"Releases happen rarely (monthly or less). Each release is a significant event requiring coordination.","Releases happen every 2-4 weeks, usually aligned with sprint boundaries. Some manual coordination required.","Releases happen weekly or more frequently. The process is mostly automated with minimal manual steps.","Multiple releases per week are routine. Any commit that passes CI can be released. Release is a non-event.","Continuous deployment - every merged PR is automatically deployed to production. No batching, no manual gates."
Deploy & Release,Deployment,Deployment Safety,"Deployments are risky - rollbacks require manual intervention and often cause downtime.","Basic rollback exists but is rarely tested. Deployments occasionally cause incidents.","Rollback procedures are documented and tested. Canary or blue-green deployments are used for critical services.","Zero-downtime deployments are standard. Feature flags decouple deploy from release. Rollback is automated and fast (<5 min).","Deployment safety is proactive - automated canary analysis, progressive rollouts, and automatic rollback on anomaly detection."
Deploy & Release,Change Management,Change Failure Rate,"High failure rate - hotfixes and emergency patches are frequent after releases. Root causes are rarely investigated.","Hotfixes happen regularly but the team acknowledges the pattern. Some post-incident reviews occur.","Change failure rate is measured. Post-incident reviews happen consistently and result in concrete preventive actions.","Low change failure rate (<10%). Most failures are caught in staging. Incident patterns are analyzed for systemic improvements.","Near-zero change failure rate. Proactive risk assessment before releases. Failure patterns from across the org inform preventive engineering."
Architecture & Design,Code Quality,Complexity Management,"No awareness of code complexity. Hot spots accumulate unchecked. Developers avoid touching certain parts of the codebase.","Some awareness of complex areas but no systematic tracking. Refactoring happens only when pain becomes unbearable.","Complexity hotspots are identified and tracked. The team allocates time for refactoring in sprint planning.","Complexity metrics are monitored automatically. Refactoring is continuous - the team improves code health every sprint as part of normal work.","Architecture fitness functions enforce complexity boundaries. Technical debt is quantified and managed as a product backlog item with business trade-offs."
Architecture & Design,Code Quality,Modularity & Boundaries,"Monolithic codebase with tight coupling. Changes in one area frequently break others. No clear module boundaries.","Some separation exists but boundaries are inconsistent. Shared code creates unexpected dependencies.","Clear module/service boundaries are defined and mostly respected. API contracts exist between major components.","Modules are independently deployable and testable. Breaking changes go through a deprecation process. Dependencies are explicit.","Architecture enables autonomous team delivery - each team owns a bounded context with well-defined interfaces. Cross-team changes are rare."
Architecture & Design,Technical Debt,Debt Management,"Technical debt is not tracked or discussed. It accumulates silently until it causes incidents or blocks features.","Technical debt is acknowledged in conversations but not systematically tracked. No dedicated time for debt reduction.","Tech debt items are captured in the backlog with clear descriptions. The team allocates a percentage of capacity to debt reduction.","Tech debt is quantified (e.g., linked to complexity metrics, incident frequency). Debt reduction is balanced against feature delivery with stakeholder buy-in.","Tech debt is managed as a strategic investment - the team proactively prevents debt accumulation through architecture reviews, coding standards, and automated enforcement."
Infrastructure & Environments,Environment Management,Dev-Prod Parity,"Development environments differ significantly from production. 'Works on my machine' is a common phrase. Environment setup takes days.","Development environments partially mirror production but key differences exist (different OS, database version, config). Setup takes hours.","Development environments closely match production in key aspects. Containerization or similar ensures consistency. Setup is documented and takes <1 hour.","Environments are provisioned from code and are near-identical to production. New developer onboarding takes <30 minutes for environment setup.","All environments (dev, staging, prod) are provisioned from the same IaC definitions. Environment drift is automatically detected and corrected."
Infrastructure & Environments,Infrastructure as Code,Configuration Management,"Infrastructure is manually configured. Server setup involves following runbooks or tribal knowledge. Configuration changes are undocumented.","Some configuration is scripted but not version-controlled. Key infrastructure components still require manual setup or configuration.","Core infrastructure is defined as code (Terraform, Ansible, etc.) and version-controlled. Changes go through review process.","All infrastructure is code-defined, version-controlled, and deployed through CI/CD. No manual changes to production infrastructure.","Infrastructure code follows the same engineering practices as application code - tested, reviewed, and continuously deployed. Self-healing infrastructure."
Infrastructure & Environments,Observability,Monitoring & Alerting,"Minimal monitoring. The team learns about production issues from users or customer support.","Basic monitoring exists (uptime, CPU, memory) but alerting is noisy or misconfigured. Alert fatigue is common.","Key business and technical metrics are monitored. Alerts are meaningful and actionable with clear runbooks. On-call rotation exists.","Comprehensive observability - structured logging, metrics, and distributed tracing. Dashboards show real-time system health. Alert SLAs are defined and met.","Observability is proactive - anomaly detection, predictive alerting, and automated remediation. SLOs/SLIs drive engineering decisions. Observability data informs product decisions."
Process & Flow,Flow Discipline,WIP Management,"No awareness of work-in-progress limits. Team members routinely juggle 3+ tasks. Context switching is the norm.","The team acknowledges that too much WIP is a problem but does not enforce limits. Sprint boards show many items in progress.","WIP limits are defined and visible on the board. The team actively manages flow and pulls work rather than pushing it.","WIP limits are respected and regularly tuned. The team uses flow metrics (cycle time, throughput) to optimize delivery pace.","Flow efficiency is a primary team metric. Bottlenecks are identified and resolved systematically. The team continuously experiments with flow improvements."
Process & Flow,Flow Discipline,Definition of Done,"No shared Definition of Done. 'Done' means different things to different team members. Incomplete work moves to the next sprint.","A Definition of Done exists on paper but is not consistently applied. Items are marked done without meeting all criteria.","DoD is clear, shared, and applied to every Product Backlog Item. The team references it during Sprint Review.","DoD evolves based on team learning. It includes non-functional requirements (tests, docs, security). The team holds each other accountable.","DoD is a living quality standard that automatically raises the bar. Automated checks enforce DoD criteria in the pipeline."
Process & Flow,Delivery Predictability,Estimation & Planning,"No estimation or wildly inaccurate estimates. The team cannot predict when work will be done. Stakeholders are regularly surprised.","The team estimates but accuracy is low. Sprints regularly have significant spillover (>30%). Scope creep is common.","Estimates are reasonable - sprint completion rate is >70%. The team tracks and learns from estimation misses. Scope changes are managed.","High predictability - sprint completion >85%, epic delivery within 1 sprint of estimate. The team uses historical data to inform estimates.","Data-driven forecasting - the team uses throughput and cycle time distributions for probabilistic delivery dates. Stakeholders trust the forecasts."
Culture & Organization,Engineering Culture,Knowledge Sharing,"Knowledge is siloed in individuals. Key-person dependencies are high. Onboarding new team members takes weeks.","Some documentation exists but is often outdated. Knowledge sharing happens informally and inconsistently.","Regular knowledge sharing practices exist (tech talks, pair programming, documented ADRs). Onboarding is structured and takes <2 weeks.","Knowledge is systematically shared across teams. Architecture Decision Records, runbooks, and internal docs are maintained as part of daily work.","Learning organization - cross-team rotations, internal conferences, communities of practice. Knowledge sharing is part of the team's identity and rhythm."
Culture & Organization,Engineering Culture,Ownership & Accountability,"No clear ownership of services or components. When things break, it is unclear who should respond. Blame culture exists.","Ownership is loosely defined. Some teams own services but on-call is not established. Incident response is ad-hoc.","Teams clearly own their services. On-call rotation exists with documented escalation paths. Blameless post-mortems are the norm.","Strong ownership culture - teams are accountable for the full lifecycle of their services (build, run, monitor). Incident learnings are shared across org.","Teams proactively improve what they own - reliability, performance, developer experience. Ownership extends to the customer outcomes, not just the code."
Culture & Organization,Continuous Improvement,Improvement Culture,"Improvement happens only in reaction to crises. Retrospective actions are rarely followed through. The team feels stuck.","The team identifies improvements in retros but follow-through is inconsistent. Only the most painful issues get addressed.","Retro actions are tracked and completed. The team regularly experiments with process improvements. At least one improvement is shipped per sprint.","Continuous improvement is embedded in daily work - the team improves processes, tools, and practices without waiting for retros. Improvement impact is measured.","The team is a learning machine - they run structured experiments, measure results, and share learnings across the organization. Innovation time is protected."
Culture & Organization,Collaboration,Cross-team Collaboration,"Teams work in isolation. Cross-team dependencies cause delays and conflicts. Integration issues are discovered late.","Some cross-team coordination exists but is reactive. Dependencies are managed through manual handoffs and meetings.","Cross-team dependencies are identified early in planning. Teams communicate proactively about shared concerns. Integration happens frequently.","Teams are loosely coupled - cross-team dependencies are minimized by architecture. When collaboration is needed, it happens smoothly with shared practices.","The organization operates as a network of autonomous teams with aligned goals. Platform teams enable product teams. Cross-team friction is systematically reduced."
